ingested_at,source,cve_id,title,published,last_modified,cvss,severity,exploited,family,vendors,products,refs
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-8876,N-able N-Central Command Injection Vulnerability,2025-08-13,2025-08-13,,HIGH,true,bluetooth,N-able,N-Central,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-8875,N-able N-Central Insecure Deserialization Vulnerability,2025-08-13,2025-08-13,,HIGH,true,bluetooth,N-able,N-Central,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-8088,RARLAB WinRAR Path Traversal Vulnerability,2025-08-12,2025-08-12,,HIGH,true,other,RARLAB,WinRAR,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2007-0671,Microsoft Office Excel Remote Code Execution Vulnerability,2025-08-12,2025-08-12,,HIGH,true,other,Microsoft,Office,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2013-3893,Microsoft Internet Explorer Resource Management Errors Vulnerability,2025-08-12,2025-08-12,,HIGH,true,other,Microsoft,Internet Explorer,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2020-25078,D-Link DCS-2530L and DCS-2670L Devices Unspecified Vulnerability,2025-08-05,2025-08-05,,HIGH,true,other,D-Link,DCS-2530L and DCS-2670L Devices,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2020-25079,D-Link DCS-2530L and DCS-2670L Command Injection Vulnerability,2025-08-05,2025-08-05,,HIGH,true,other,D-Link,DCS-2530L and DCS-2670L Devices,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2022-40799,D-Link DNR-322L Download of Code Without Integrity Check Vulnerability,2025-08-05,2025-08-05,,HIGH,true,other,D-Link,DNR-322L,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2023-2533,PaperCut NG/MF Cross-Site Request Forgery (CSRF) Vulnerability,2025-07-28,2025-07-28,,HIGH,true,bluetooth,PaperCut,NG/MF,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-20337,Cisco Identity Services Engine Injection Vulnerability,2025-07-28,2025-07-28,,HIGH,true,other,Cisco,Identity Services Engine,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-20281,Cisco Identity Services Engine Injection Vulnerability,2025-07-28,2025-07-28,,HIGH,true,other,Cisco,Identity Services Engine,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-2775,SysAid On-Prem Improper Restriction of XML External Entity Reference Vulnerability,2025-07-22,2025-07-22,,HIGH,true,other,SysAid,SysAid On-Prem,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-2776,SysAid On-Prem Improper Restriction of XML External Entity Reference Vulnerability,2025-07-22,2025-07-22,,HIGH,true,other,SysAid,SysAid On-Prem,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-6558,Google Chromium ANGLE and GPU Improper Input Validation Vulnerability,2025-07-22,2025-07-22,,HIGH,true,other,Google,Chromium,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-54309, CrushFTP Unprotected Alternate Channel Vulnerability,2025-07-22,2025-07-22,,HIGH,true,other,CrushFTP,CrushFTP,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-49704,Microsoft SharePoint Code Injection Vulnerability,2025-07-22,2025-07-22,,HIGH,true,other,Microsoft,SharePoint,"Disconnect public-facing versions of SharePoint Server that have reached their end-of-life (EOL) or end-of-service (EOS) to include SharePoint Server 2013 and earlier versions. For supported versions, please follow the mitigations according to CISA (URL listed below in Notes) and vendor instructions (URL listed below in Notes). Adhere to the applicable BOD 22-01 guidance for cloud services or discontinue use of the product if mitigations are not available."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-49706,Microsoft SharePoint Improper Authentication Vulnerability,2025-07-22,2025-07-22,,HIGH,true,other,Microsoft,SharePoint,"Disconnect public-facing versions of SharePoint Server that have reached their end-of-life (EOL) or end-of-service (EOS) to include SharePoint Server 2013 and earlier versions. For supported versions, please follow the mitigations according to CISA (URL listed below in Notes) and vendor instructions (URL listed below in Notes). Adhere to the applicable BOD 22-01 guidance for cloud services or discontinue use of the product if mitigations are not available."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-53770,Microsoft SharePoint Deserialization of Untrusted Data Vulnerability,2025-07-20,2025-07-20,,HIGH,true,other,Microsoft,SharePoint,"Disconnect public-facing versions of SharePoint Server that have reached their end-of-life (EOL) or end-of-service (EOS) to include SharePoint Server 2013 and earlier versions. For supported versions, please follow the mitigations according to CISA (URL listed below in Notes) and vendor instructions (URL listed below in Notes). Adhere to the applicable BOD 22-01 guidance for cloud services or discontinue use of the product if mitigations are not available."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-25257,Fortinet FortiWeb SQL Injection Vulnerability,2025-07-18,2025-07-18,,HIGH,true,other,Fortinet,FortiWeb,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-47812,Wing FTP Server Improper Neutralization of Null Byte or NUL Character Vulnerability,2025-07-14,2025-07-14,,HIGH,true,other,Wing FTP Server,Wing FTP Server,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-5777,Citrix NetScaler ADC and Gateway Out-of-Bounds Read Vulnerability,2025-07-10,2025-07-10,,HIGH,true,other,Citrix,NetScaler ADC and Gateway,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2019-9621,Synacor Zimbra Collaboration Suite (ZCS) Server-Side Request Forgery (SSRF) Vulnerability,2025-07-07,2025-07-07,,HIGH,true,other,Synacor,Zimbra Collaboration Suite (ZCS),"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2019-5418,Rails Ruby on Rails Path Traversal Vulnerability,2025-07-07,2025-07-07,,HIGH,true,other,Rails,Ruby on Rails,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2016-10033,PHPMailer Command Injection Vulnerability,2025-07-07,2025-07-07,,HIGH,true,other,PHP,PHPMailer,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2014-3931,Multi-Router Looking Glass (MRLG) Buffer Overflow Vulnerability,2025-07-07,2025-07-07,,HIGH,true,other,Looking Glass,Multi-Router Looking Glass (MRLG),"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-6554,Google Chromium V8 Type Confusion Vulnerability,2025-07-02,2025-07-02,,HIGH,true,other,Google,Chromium V8,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-48928,TeleMessage TM SGNL Exposure of Core Dump File to an Unauthorized Control Sphere Vulnerability,2025-07-01,2025-07-01,,HIGH,true,other,TeleMessage,TM SGNL,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-48927,TeleMessage TM SGNL Initialization of a Resource with an Insecure Default Vulnerability,2025-07-01,2025-07-01,,HIGH,true,other,TeleMessage,TM SGNL,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2019-6693,Fortinet FortiOS Use of Hard-Coded Credentials Vulnerability,2025-06-25,2025-06-25,,HIGH,true,other,Fortinet,FortiOS,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2024-0769, D-Link DIR-859 Router Path Traversal Vulnerability,2025-06-25,2025-06-25,,HIGH,true,other,D-Link,DIR-859 Router,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2024-54085,AMI MegaRAC SPx Authentication Bypass by Spoofing Vulnerability,2025-06-25,2025-06-25,,HIGH,true,other,AMI,MegaRAC SPx,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2023-0386,Linux Kernel Improper Ownership Management Vulnerability,2025-06-17,2025-06-17,,HIGH,true,bluetooth,Linux,Kernel,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2023-33538,TP-Link Multiple Routers Command Injection Vulnerability,2025-06-16,2025-06-16,,HIGH,true,other,TP-Link,Multiple Routers,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-43200,Apple Multiple Products Unspecified Vulnerability,2025-06-16,2025-06-16,,HIGH,true,other,Apple,Multiple Products,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-33053, Microsoft Windows External Control of File Name or Path Vulnerability,2025-06-10,2025-06-10,,HIGH,true,other,Microsoft,Windows,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-24016,Wazuh Server Deserialization of Untrusted Data Vulnerability,2025-06-10,2025-06-10,,HIGH,true,other,Wazuh,Wazuh Server,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2024-42009,RoundCube Webmail Cross-Site Scripting Vulnerability,2025-06-09,2025-06-09,,HIGH,true,other,Roundcube,Webmail,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-32433,Erlang Erlang/OTP SSH Server Missing Authentication for Critical Function Vulnerability,2025-06-09,2025-06-09,,HIGH,true,other,Erlang,Erlang/OTP,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-5419,Google Chromium V8 Out-of-Bounds Read and Write Vulnerability,2025-06-05,2025-06-05,,HIGH,true,other,Google,Chromium V8,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-21479,Qualcomm Multiple Chipsets Incorrect Authorization Vulnerability,2025-06-03,2025-06-03,,HIGH,true,other,Qualcomm,Multiple Chipsets,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-21480,Qualcomm Multiple Chipsets Incorrect Authorization Vulnerability,2025-06-03,2025-06-03,,HIGH,true,other,Qualcomm,Multiple Chipsets,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-27038,Qualcomm Multiple Chipsets Use-After-Free Vulnerability,2025-06-03,2025-06-03,,HIGH,true,other,Qualcomm,Multiple Chipsets,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2021-32030,ASUS Routers Improper Authentication Vulnerability,2025-06-02,2025-06-02,,HIGH,true,other,ASUS,Routers,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-3935,ConnectWise ScreenConnect Improper Authentication Vulnerability,2025-06-02,2025-06-02,,HIGH,true,other,ConnectWise,ScreenConnect,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-35939,Craft CMS External Control of Assumed-Immutable Web Parameter Vulnerability,2025-06-02,2025-06-02,,HIGH,true,bluetooth,Craft CMS,Craft CMS,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2024-56145,Craft CMS Code Injection Vulnerability,2025-06-02,2025-06-02,,HIGH,true,bluetooth,Craft CMS,Craft CMS,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2023-39780,ASUS RT-AX55 Routers OS Command Injection Vulnerability,2025-06-02,2025-06-02,,HIGH,true,other,ASUS,RT-AX55 Routers,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2023-38950,ZKTeco BioTime Path Traversal Vulnerability,2025-05-19,2025-05-19,,HIGH,true,other,ZKTeco,BioTime,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2024-27443,Synacor Zimbra Collaboration Suite (ZCS) Cross-Site Scripting (XSS) Vulnerability,2025-05-19,2025-05-19,,HIGH,true,other,Synacor,Zimbra Collaboration Suite (ZCS),"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-27920,Srimax Output Messenger Directory Traversal Vulnerability,2025-05-19,2025-05-19,,HIGH,true,other,Srimax,Output Messenger,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2024-11182,MDaemon Email Server Cross-Site Scripting (XSS) Vulnerability,2025-05-19,2025-05-19,,HIGH,true,other,MDaemon,Email Server,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-4428,Ivanti Endpoint Manager Mobile (EPMM) Code Injection Vulnerability,2025-05-19,2025-05-19,,HIGH,true,other,Ivanti,Endpoint Manager Mobile (EPMM),"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-4427,Ivanti Endpoint Manager Mobile (EPMM) Authentication Bypass Vulnerability,2025-05-19,2025-05-19,,HIGH,true,other,Ivanti,Endpoint Manager Mobile (EPMM),"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-42999,SAP NetWeaver Deserialization Vulnerability,2025-05-15,2025-05-15,,HIGH,true,other,SAP,NetWeaver,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2024-12987,DrayTek Vigor Routers OS Command Injection Vulnerability,2025-05-15,2025-05-15,,HIGH,true,other,DrayTek,Vigor Routers,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-32756,Fortinet Multiple Products Stack-Based Buffer Overflow Vulnerability,2025-05-14,2025-05-14,,HIGH,true,other,Fortinet,Multiple Products,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-32709,Microsoft Windows Ancillary Function Driver for WinSock Use-After-Free Vulnerability,2025-05-13,2025-05-13,,HIGH,true,other,Microsoft,Windows,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-30397,Microsoft Windows Scripting Engine Type Confusion Vulnerability,2025-05-13,2025-05-13,,HIGH,true,other,Microsoft,Windows,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-47729,TeleMessage TM SGNL Hidden Functionality Vulnerability,2025-05-12,2025-05-12,,HIGH,true,other,TeleMessage,TM SGNL,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2024-11120,GeoVision Devices OS Command Injection Vulnerability,2025-05-07,2025-05-07,,HIGH,true,other,GeoVision,Multiple Devices,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2024-6047,GeoVision Devices OS Command Injection Vulnerability,2025-05-07,2025-05-07,,HIGH,true,other,GeoVision,Multiple Devices,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-27363,FreeType Out-of-Bounds Write Vulnerability,2025-05-06,2025-05-06,,HIGH,true,bluetooth,FreeType,FreeType,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-3248,Langflow Missing Authentication Vulnerability,2025-05-05,2025-05-05,,HIGH,true,other,Langflow,Langflow,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-34028,Commvault Command Center Path Traversal Vulnerability,2025-05-02,2025-05-02,,HIGH,true,other,Commvault,Command Center,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2024-58136,Yiiframework Yii Improper Protection of Alternate Path Vulnerability,2025-05-02,2025-05-02,,HIGH,true,other,Yiiframework,Yii,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2024-38475,Apache HTTP Server Improper Escaping of Output Vulnerability,2025-05-01,2025-05-01,,HIGH,true,bluetooth,Apache,HTTP Server,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2023-44221,SonicWall SMA100 Appliances OS Command Injection Vulnerability,2025-05-01,2025-05-01,,HIGH,true,other,SonicWall,SMA100 Appliances,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-31324,SAP NetWeaver Unrestricted File Upload Vulnerability,2025-04-29,2025-04-29,,HIGH,true,bluetooth,SAP,NetWeaver,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-1976,Broadcom Brocade Fabric OS Code Injection Vulnerability,2025-04-28,2025-04-28,,HIGH,true,other,Broadcom,Brocade Fabric OS,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-42599,Qualitia Active! Mail Stack-Based Buffer Overflow Vulnerability,2025-04-28,2025-04-28,,HIGH,true,other,Qualitia,Active! Mail,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-3928,Commvault Web Server Unspecified Vulnerability,2025-04-28,2025-04-28,,HIGH,true,other,Commvault,Web Server,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-31201,Apple Multiple Products Arbitrary Read and Write Vulnerability,2025-04-17,2025-04-17,,HIGH,true,other,Apple,Multiple Products,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-31200,Apple Multiple Products Memory Corruption Vulnerability,2025-04-17,2025-04-17,,HIGH,true,other,Apple,Multiple Products,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
